id,capacite
0,10
1,11
2,13
3,12
4,14
5,15
6,16
7,17
8,19
9,18
10,20
11,21
12,23
13,22
14,24
15,25
16,26
17,27
18,29
19,28
20,30
21,31
22,33
23,32
24,34
25,35
26,36
27,37
28,39
29,38
30,40
31,41
32,43
33,42
34,44
35,45
36,46
37,47
38,49
39,48
40,50
41,51
42,53
43,52
44,54
45,55
46,56
47,57
48,59
49,58
50,60
51,61
52,63
53,62
54,64
55,65
56,66
57,67
58,69
59,68
60,70
61,71
62,73
63,72
64,74
65,75
66,76
67,77
68,79
69,78
70,80
71,81
72,83
73,82
74,84
75,85
76,86
77,87
78,89
79,88
80,90
81,91
82,93
83,92
84,94
85,95
86,96
87,97
88,99
89,98
90,100
91,101
92,103
93,102
94,104
95,105
96,106
97,107
98,109
99,108
